"","Subject","trialNum","adaptor","exposureLength","response","soundfile","keyResp","keyRT","Time"
"1","ABCD_1701",1,"b",70,"d","a_bd10_CV.wav","m",2.74798607826,186.499161005
"2","ABCD_1701",1,"b",70,"d","a_bd02_CV.wav","m",2.5269780159,189.226704836
"3","ABCD_1701",1,"b",70,"b","a_bd06_CV.wav","z",3.00760602951,192.434651852
"4","ABCD_1701",1,"b",70,"b","a_bd04_CV.wav","z",1.01567792892,193.65067482
"5","ABCD_1701",1,"b",70,"d","a_bd12_CV.wav","m",0.815621137619,194.666646957
"6","ABCD_1701",1,"b",70,"d","a_bd16_CV.wav","m",0.66382598877,195.530787945
"7","ABCD_1701",1,"b",70,"d","a_bd14_CV.wav","m",0.695556163788,196.426676035
"8","ABCD_1701",1,"b",70,"b","a_bd08_CV.wav","z",0.959547042847,197.586555958
"9","ABCD_1701",1,"b",70,"d","a_bd18_CV.wav","m",0.823539972305,198.610448837
"10","ABCD_1701",2,"d",70,"d","a_bd12_CV.wav","m",1.28158092499,239.298301935
"11","ABCD_1701",2,"d",70,"b","a_bd06_CV.wav","z",1.43960595131,240.938201904
"12","ABCD_1701",2,"d",70,"d","a_bd08_CV.wav","m",0.887634992599,242.026185036
"13","ABCD_1701",2,"d",70,"b","a_bd18_CV.wav","z",0.759668111801,242.986222982
"14","ABCD_1701",2,"d",70,"b","a_bd02_CV.wav","z",0.783637046814,243.970182896
"15","ABCD_1701",2,"d",70,"b","a_bd04_CV.wav","z",0.847576856613,245.018108845
"16","ABCD_1701",2,"d",70,"b","a_bd10_CV.wav","z",0.695873975754,245.914352894
"17","ABCD_1701",2,"d",70,"d","a_bd14_CV.wav","m",0.607383012772,246.722107887
"18","ABCD_1701",2,"d",70,"d","a_bd16_CV.wav","m",0.599853992462,247.522292852
"19","ABCD_1701",3,"b",70,"d","a_bd18_CV.wav","m",0.82325387001,287.978197813
"20","ABCD_1701",3,"b",70,"d","a_bd16_CV.wav","m",0.815546035767,288.994110823
"21","ABCD_1701",3,"b",70,"b","a_bd02_CV.wav","z",0.911652088165,290.106103897
"22","ABCD_1701",3,"b",70,"d","a_bd10_CV.wav","m",0.807714939117,291.114147902
"23","ABCD_1701",3,"b",70,"b","a_bd08_CV.wav","z",0.92760181427,292.24206686
"24","ABCD_1701",3,"b",70,"b","a_bd04_CV.wav","z",0.903684139252,293.346065998
"25","ABCD_1701",3,"b",70,"d","a_bd12_CV.wav","m",0.903588056564,294.449982882
"26","ABCD_1701",3,"b",70,"d","a_bd14_CV.wav","m",0.671716213226,295.322036028
"27","ABCD_1701",3,"b",70,"b","a_bd06_CV.wav","z",0.67991900444,296.202281952
"28","ABCD_1701",4,"d",70,"b","a_bd06_CV.wav","z",0.72150015831,336.463953972
"29","ABCD_1701",4,"d",70,"d","a_bd02_CV.wav","m",0.535491943359,337.199813843
"30","ABCD_1701",4,"d",70,"d","a_bd04_CV.wav","m",0.911607980728,338.311750889
"31","ABCD_1701",4,"d",70,"b","a_bd10_CV.wav","z",0.7035779953,339.215708017
"32","ABCD_1701",4,"d",70,"d","a_bd16_CV.wav","m",0.711722135544,340.127790928
"33","ABCD_1701",4,"d",70,"d","a_bd14_CV.wav","m",0.991662025452,341.319767952
"34","ABCD_1701",4,"d",70,"b","a_bd08_CV.wav","z",0.807626962662,342.327708006
"35","ABCD_1701",4,"d",70,"b","a_bd12_CV.wav","z",0.559722900391,343.087767839
"36","ABCD_1701",4,"d",70,"d","a_bd18_CV.wav","m",0.519549131393,343.807641029
"37","ABCD_1701",5,"b",70,"d","a_bd06_CV.wav","m",1.00881505013,384.51907897
"38","ABCD_1701",5,"b",70,"d","a_bd12_CV.wav","m",0.75981593132,385.47921896
"39","ABCD_1701",5,"b",70,"d","a_bd18_CV.wav","m",0.743532896042,386.423108816
"40","ABCD_1701",5,"b",70,"b","a_bd04_CV.wav","z",0.703511953354,387.326979876
"41","ABCD_1701",5,"b",70,"d","a_bd16_CV.wav","m",0.663846969604,388.191161871
"42","ABCD_1701",5,"b",70,"b","a_bd02_CV.wav","z",0.823481082916,389.214972973
"43","ABCD_1701",5,"b",70,"d","a_bd10_CV.wav","m",0.743718862534,390.159013033
"44","ABCD_1701",5,"b",70,"b","a_bd08_CV.wav","z",0.679807901382,391.039162874
