"","Subject","cond","trialNum","reversals","streakLength","lowFreq","highFreq","freqDiff","correct","RT","Time"
"1","ABCD_1701","a",1,0,0,1000,1500,500,1,2.89440584183,55.403512001
"2","ABCD_1701","a",2,0,1,1000,1500,500,1,2.33785295486,57.7415599823
"3","ABCD_1701","a",3,0,0,1000,750,250,1,2.62221693993,60.3642001152
"4","ABCD_1701","a",4,0,1,1000,750,250,1,2.15460205078,62.5190460682
"5","ABCD_1701","a",5,0,0,1000,1125,125,1,2.45445203781,64.9736690521
"6","ABCD_1701","a",6,0,1,1000,875,125,1,2.33813905716,67.3119771481
"7","ABCD_1701","a",7,0,0,1000,1062.5,62.5,1,2.62207508087,69.9342131615
"8","ABCD_1701","a",8,0,1,1000,937.5,62.5,1,2.87295103073,72.8073899746
"9","ABCD_1701","a",9,0,0,1000,968.75,31.25,1,2.00372314453,74.8112909794
"10","ABCD_1701","a",10,0,1,1000,1031.25,31.25,1,2.25474405289,77.0664169788
"11","ABCD_1701","a",11,0,0,1000,984.375,15.625,0,3.12287902832,80.1896440983
"12","ABCD_1701","a",12,1,0,1000,1055.625,55.625,1,3.22317790985,83.4132151604
"13","ABCD_1701","a",13,1,1,1000,944.375,55.625,1,2.9391438961,86.3525531292
"14","ABCD_1701","a",14,1,0,1000,972.1875,27.8125,1,2.87253713608,89.225249052
"15","ABCD_1701","a",15,1,1,1000,972.1875,27.8125,1,2.2713868618,91.4967501163
"16","ABCD_1701","a",16,1,0,1000,1013.90625,13.90625,1,2.37174105644,93.8688499928
"17","ABCD_1701","a",17,1,1,1000,986.09375,13.90625,1,2.42138886452,96.2905781269
"18","ABCD_1701","a",18,1,0,1000,993.046875,6.953125,1,2.63864803314,98.9294290543
"19","ABCD_1701","a",19,1,1,1000,1006.953125,6.953125,0,2.58865380287,101.518404007
"20","ABCD_1701","a",20,2,0,1000,1046.953125,46.953125,1,2.83896589279,104.357784986
"21","ABCD_1701","a",21,2,1,1000,953.046875,46.953125,1,2.82237386703,107.180359125
"22","ABCD_1701","a",22,2,0,1000,976.5234375,23.4765625,1,2.30461621284,109.485136986
"23","ABCD_1701","a",23,2,1,1000,976.5234375,23.4765625,1,2.52186083794,112.007385015
"24","ABCD_1701","a",24,2,0,1000,1011.73828125,11.73828125,1,2.67199397087,114.679516077
"25","ABCD_1701","a",25,2,1,1000,1011.73828125,11.73828125,1,3.00641489029,117.686262131
"26","ABCD_1701","a",26,2,0,1000,994.130859375,5.869140625,1,3.08948016167,120.775949001
"27","ABCD_1701","a",27,2,1,1000,994.130859375,5.869140625,0,2.77294611931,123.549112082
"28","ABCD_1701","a",28,3,0,1000,1045.86914062,45.869140625,1,2.25402092934,125.803280115
"29","ABCD_1701","a",29,3,1,1000,1045.86914062,45.869140625,1,2.28814792633,128.091761112
"30","ABCD_1701","a",30,3,0,1000,1022.93457031,22.9345703125,1,2.12079000473,130.212899208
"31","ABCD_1701","a",31,3,1,1000,1022.93457031,22.9345703125,1,2.42150402069,132.634787083
"32","ABCD_1701","a",32,3,0,1000,988.532714844,11.4672851562,1,2.70542883873,135.340605974
"33","ABCD_1701","a",33,3,1,1000,988.532714844,11.4672851562,1,2.57169890404,137.912693977
"34","ABCD_1701","a",34,3,0,1000,994.266357422,5.73364257812,1,2.57171988487,140.484619141
"35","ABCD_1701","a",35,3,1,1000,1005.73364258,5.73364257812,1,2.67225003242,143.157191038
"36","ABCD_1701","a",36,3,0,1000,997.133178711,2.86682128906,0,2.35466718674,145.51216507
"37","ABCD_1701","a",37,4,0,1000,957.133178711,42.8668212891,1,2.33801102638,147.850570202
"38","ABCD_1701","a",38,4,1,1000,1042.86682129,42.8668212891,1,2.33786296844,150.188639164
"39","ABCD_1701","a",39,4,0,1000,1021.43341064,21.4334106445,1,2.4718310833,152.660792112
"40","ABCD_1701","a",40,4,1,1000,1021.43341064,21.4334106445,1,2.40470814705,155.065701008
"41","ABCD_1701","a",41,4,0,1000,1010.71670532,10.7167053223,1,2.32153487206,157.387580156
"42","ABCD_1701","a",42,4,1,1000,1010.71670532,10.7167053223,1,2.40472006798,159.792500019
"43","ABCD_1701","a",43,4,0,1000,994.641647339,5.35835266113,1,2.68882703781,162.481498003
"44","ABCD_1701","a",44,4,1,1000,1005.35835266,5.35835266113,1,2.67225289345,165.154123068
"45","ABCD_1701","a",45,4,0,1000,997.320823669,2.67917633057,1,2.38794779778,167.542277098
"46","ABCD_1701","a",46,4,1,1000,997.320823669,2.67917633057,1,2.28813815117,169.830749989
"47","ABCD_1701","a",47,4,0,1000,998.660411835,1.33958816528,0,2.4380941391,172.269047022
"48","ABCD_1701","a",48,5,0,1000,1026.33958817,26.3395881653,1,2.45529508591,174.724649191
"49","ABCD_1701","a",49,5,1,1000,1026.33958817,26.3395881653,1,2.18746399879,176.912274122
"50","ABCD_1701","a",50,5,0,1000,986.830205917,13.1697940826,1,2.37155508995,179.284018993
"51","ABCD_1701","a",51,5,1,1000,1013.16979408,13.1697940826,1,2.10435295105,181.388704062
"52","ABCD_1701","a",52,5,0,1000,993.415102959,6.58489704132,1,2.32116985321,183.710070133
"53","ABCD_1701","a",53,5,1,1000,1006.58489704,6.58489704132,0,2.50522303581,186.215649128
"54","ABCD_1701","a",54,6,0,1000,968.415102959,31.5848970413,1,2.23681497574,188.4535532
"55","ABCD_1701","a",55,6,1,1000,968.415102959,31.5848970413,1,2.08766388893,190.541397095
"56","ABCD_1701","a",56,6,0,1000,984.207551479,15.7924485207,0,2.02075600624,192.562514067
"57","ABCD_1701","a",57,7,0,1000,959.207551479,40.7924485207,1,2.07037091255,194.633086205
"58","ABCD_1701","a",58,7,1,1000,959.207551479,40.7924485207,1,2.05444812775,196.687708139
"59","ABCD_1701","a",59,7,0,1000,979.60377574,20.3962242603,1,2.27140402794,198.959284067
"60","ABCD_1701","a",60,7,1,1000,1020.39622426,20.3962242603,1,2.38823199272,201.347627163
"61","ABCD_1701","a",61,7,0,1000,989.80188787,10.1981121302,1,2.65557289124,204.0033741
"62","ABCD_1701","a",62,7,1,1000,1010.19811213,10.1981121302,1,2.1878798008,206.191624165
"63","ABCD_1701","a",63,7,0,1000,994.900943935,5.09905606508,1,2.47152495384,208.663552999
"64","ABCD_1701","a",64,7,1,1000,1005.09905607,5.09905606508,1,2.08731293678,210.751214027
"65","ABCD_1701","a",65,7,0,1000,997.450471967,2.54952803254,1,1.97052812576,212.721935987
"66","ABCD_1701","a",66,7,1,1000,1002.54952803,2.54952803254,1,2.1711230278,214.893232107
"67","ABCD_1701","a",67,7,0,1000,1001.27476402,1.27476401627,1,2.10431718826,216.997720003
"68","ABCD_1701","a",68,7,1,1000,998.725235984,1.27476401627,0,2.07091593742,219.068929195
"69","ABCD_1701","a",69,8,0,1000,973.725235984,26.2747640163,1,2.28790402412,221.357040167
"70","ABCD_1701","a",70,8,1,1000,1026.27476402,26.2747640163,1,2.20447707176,223.56182909
